Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
60,O=C1C=C(C(=NN1CSP(OCC)(OCC)=S)Cl)C,0.709247497,0.400796786,-1.0720959,0.1026782187277117,0.2762626201808881
61,O=C1C=C(C(=NN1CSP(=O)(OCC)OCC)Cl)C,0.717080445,0.007674294,4.967624,0.1240540788615862,0.4035173424045989
62,Nc1ccc(cc1)N(CC)CC,0.693208497,0.995355053,6.6459765,0.0135742938525039,0.267244854763524
63,O(c1cc(N)c(cc1N(C)C)C)C,0.703228411,0.997507399,10.95423,0.007748812476787,0.1090378738673955
64,O=C(OCC)N1CC(C=NOC)=CCC1,0.524657048,0.002463824,-1.8349473,0.0259119972746524,0.20830616185477718
65,O=S(=O)(Nc1cccc(c1)C(O)CNC)C,0.696362921,0.710421771,-14.341837,0.6886481656494287,0.45424418861149085
66,O=C(Oc1nn(C(=O)N(C)C)c(c1)C)N(C)C,0.727167145,0.285563867,9.292913,0.5221591179578811,0.418098384558742
67,N#CN=C(NC)NCCSCc1nc[nH]c1C,0.308908723,0.960258009,4.480424,0.957652706879892,0.8403592531798603
68,O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1)N(C)C,0.74366382,0.994003523,19.804789,0.5493647629918491,0.5789547216124621
69,O=C1CC2(CC2(C1C))(C(C)C),0.56294981,0.93756215,21.772755,0.1192423526979012,0.2365701523653684
70,O1OC2(C=CC1(C)CC2)C(C)C,0.442032125,0.538975088,16.838436,0.062971511098816,0.1867814445916491
71,n1c(nc(cc1C)C)SP(OCC)(OCC)=S,0.590560713,0.288925152,3.567184,0.2717284293182291,0.28908846886350786
72,O=C1C(OC)=C(OP(OCC)(OCC)=S)C=NN1C,0.706159494,0.026664397,16.010387,0.357341406456293,0.5695493908115078
73,O=C(ON=C1C(C)(C)SC(=NC(C)C)S1)NC,0.621424366,0.026359315,20.276917,0.1869049860749604,0.17059532019994625
74,O=C(OC)C=C(C(=O)OC)SP(OCC)(OCC)=S,0.381603638,0.211836327,17.08479,0.6620860949169819,0.6620817190894762
75,O=NN(C(=O)NCC1OC(OC)C(O)C(O)C1(O))CCCl,0.26063602,0.992574777,19.99758,0.1367669696453124,0.43333173506321876
76,N2=C(NCC1CCCCC1)SCC2,0.735768407,0.326527645,19.894875,0.1104139494874396,0.21756602302271677
77,O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C,0.252088804,0.998313115,22.576092,0.7783283861725856,0.7686963653680194
78,O=C(ON=C(C)SC)N(C)SSN(C(=O)ON=C(C)SC)C,0.176456507,0.998341494,31.00383,0.6623779504039734,0.6698749024795481
79,O=C(n1nc(nc1SC)C(C)(C)C)N(C)C,0.704945715,0.197642207,7.2761836,0.0579154992571908,0.5844001035235756
80,O=NN(C(=O)NCCS(=O)(=O)N1CCCCC1)CCCl,0.423350192,0.995853894,24.941793,0.0477670116474569,0.19810817694115826
81,O=C(C(=C(OP(=O)(OC)OC)C)Cl)N(CC)CC,0.410708133,0.463246418,20.950129,0.7990649977036636,0.6189435655100397
82,N#CC(NC(=O)CSP(=O)(OCC)OCC)(C)C,0.691047331,0.046294098,19.636711,0.0216514837886876,0.11304333042499679
83,O=C(OCC)C=C(OP(=O)(OCC)OCC)C,0.290917938,0.723849664,17.534,0.6350133164209658,0.6117074137669041
84,O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)SC,0.47152008,0.98907805,20.338245,0.6698504421941468,0.7095058636992944
