Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
71,CCNC(=O)NCc1ccc(C(C)(C)C)cc1,0.8292824280689771,0.1946515556040631,-0.41166246,0.4292469666349591,0.5644277105057743
72,O=C(c1ccc(Br)cc1)c1ccc(OCCCCCO)cc1,0.5642806785696226,0.2525054743920534,8.091071,0.2265174332797178,0.5558589512225469
73,O=C(O)c1cccc(OCc2ccccc2Cl)c1,0.9154070545112792,0.3825259093559264,-5.3625555,0.916608627746066,0.5283819625674432
74,Cc1ccc(S(=O)(=O)CCC(=O)O)cc1C,0.869161126479405,0.9970744710019428,8.993796,0.7901387300805792,0.6825010994410684
75,O=C(NCCCCCCO)c1ccc(Cl)c([N+](=O)[O-])c1,0.4381604173830898,0.0033200202593996,12.744206,0.223642245028802,0.24073715911722554
76,O=C(O)c1ccccc1C(=O)Nc1cccc([N+](=O)[O-])c1,0.662582722747545,0.9826087469578506,-2.4332066,0.8236913227482773,0.684761321747928
77,CCCOc1cccc2oc(=O)ccc12,0.7211710837410845,0.3277969010474142,3.7271056,0.2854499955416384,0.6122524792871692
78,Nc1ccc(C(=O)O)cc1C(=O)c1ccccc1,0.6372598581440188,0.9991103133862238,-1.9082732,0.9509503284668056,0.8076797836590947
79,Cc1ccc(C)c(NC(=O)c2cccc([N+](=O)[O-])c2O)c1,0.6691547377984183,0.8625732677635302,9.78263,0.1574502696292787,0.2583657831247613
80,COc1ccc(CCNCC(=O)N(C)C)cc1OCCCO,0.6218761703486813,0.0077770737812476,9.235362,0.7534193690567993,0.5578784047096452
81,COc1cccc2c1-c1c(C(=O)O)cccc1C2=O,0.7630701919035927,0.9985481407552464,14.936553,0.8905647784393093,0.5731216803741902
82,O=C(CCCCCO)Nc1cccc(C(=O)O)c1,0.6455968151301592,0.7141074950300833,9.082086,0.8419567529180815,0.7351517009196371
83,CCOc1ccccc1OCCCCCCCO,0.6485220222783237,0.9988622124683308,13.867442,0.3602202884594203,0.34432228164158607
84,Cc1cc(C)n(Cc2ccccc2Cl)n1,0.7601983528009608,0.0494906784055424,-1.7294273,0.0911358789037891,0.180441728162001
85,CCCCCCCCCCOC(=O)CCCCCCCCO,0.2889385927573366,0.9988963986045438,17.805868,0.1896290365722608,0.2244306362195902
86,Cc1ccc(OCC(=O)NCCC(=O)NO)cc1,0.5044550919028973,0.1334070467308447,-0.5008141,0.1067309021266607,0.18942979868081475
87,Fc1ccc(Cl)cc1Br,0.5755456403293191,0.9996507853711925,9.391415,0.0146000415344538,0.29461680954794306
88,COC(=O)CCS(=O)(=O)c1ccc(Cl)c(Cl)c1,0.8002590335705323,0.0741009496743952,12.784579,0.5463533552086003,0.5964065278613184
89,O=C(O)c1ccccc1C(=O)Nc1ccccc1,0.8676040057750659,0.9996923411813828,-0.7310082,0.905668113421652,0.7292102151847122
90,COc1ccc(C=NOc2ccccc2)cc1,0.5932163513626267,0.9826641313154524,7.1143155,0.0622489045191109,0.12058321404354944
91,COc1ccc2cc(-c3ccccc3)ncc2c1,0.6714768057802983,0.1806344158579775,-4.861489,0.0540644981845369,0.20979087044607012
92,COc1cc(O)cc(CCc2ccc(OC)c(O)c2)c1,0.8798280262598093,0.999474596732721,11.415842,0.189973017829909,0.3678537037660507
93,CC(=O)Oc1cccc(OC(=O)NCCCCCO)c1,0.4525073750114077,0.8229387604162415,6.717093,0.4371858640041566,0.4603162559548588
94,OCCCCN1CCN(Cc2ccccc2Br)CC1,0.8127219864970358,0.6071647867121017,1.223059,0.61536413001218,0.8212093776070926
95,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,0.7115458389413654,0.8525605730128095,-7.341351,0.0727200936321905,0.2638287413891261
96,CN(C)CCc1cccc(-c2ccsc2)c1,0.7779435257708068,0.3276118251810758,5.11292,0.8787502014547194,0.3423838554218416
97,CC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,0.8164737621593255,0.8490405381521432,-5.9388833,0.9044976873135432,0.700063498130141
98,COc1ccc(-c2cc(=O)c3cc(O)ccc3o2)cc1,0.7751029818957302,0.9993575373010808,1.4926895,0.3607538218194557,0.6269723716605596
99,CCCCCCC(=N)N,0.3313700066420438,0.9989107087160206,22.22565,0.0065778892650013,0.19328448398906395
100,Cc1ccc2oc(=O)n(Cc3ccc(O)cc3)c2c1,0.7655134608576749,0.0784999070913507,-2.9664822,0.6383350463660532,0.28812050524963084
101,CCCCNC(=O)C(=O)NCc1ccncc1,0.580103054272431,0.6414949032960591,-2.6391587,0.036796457848828,0.2700677982699472
102,CSc1ccccc1C(=O)Nc1ccccc1,0.8334449312786004,0.9959659961042304,3.3147616,0.1589389306341593,0.3285503866166237
103,CC(C)=O,0.3982369618339747,0.9998290248746398,22.883232,0.0072042187266814,0.15366997153129502
104,Cc1ccccc1CCNCc1ccc(Br)cc1,0.8204619613773998,0.1783880818216343,4.055922,0.4803941086187451,0.41446697054557646
105,OCCCCNCc1ccc(-c2ccccc2)cc1,0.7445597156127589,0.115227081444549,11.974883,0.4901405970192552,0.657121227381432
106,CN1CCN(C(=S)Nc2ccc(Cl)c(Cl)c2)CC1,0.8038119117247188,0.1685866292811024,-5.440104,0.8363750655433121,0.440212522870749
107,CC(=O)NCCc1c[nH]c2ccc(OCCCCCO)cc12,0.6227252895237455,0.9917112477245282,4.453587,0.6432970158885684,0.4961793449972511
108,CN(C)CCC(=O)c1cccc(OCCCCO)c1,0.5476618975201253,0.0027591303176067,11.709598,0.9052991224375176,0.7507231773686691
109,CNC(=O)c1ccc2c(c1)Cc1ccccc1-2,0.6747358861077156,0.2036731604584366,6.20632,0.3869517929481523,0.6503338635332714
110,CCCCCNc1ccc(C(=O)O)cn1,0.7044403014646864,0.3780245070311556,-2.9372535,0.0560666457667677,0.21486835635981155
111,Cc1[nH]c2ccccc2c(=O)c1CCCCCCCO,0.7602953365080747,0.3364109141143378,-11.600432,0.6680510435196808,0.43739155804347735
