iter	Passed	Remaining
577	3036	1166
578	3040	1160
579	3046	1155
580	3051	1150
581	3056	1144
582	3061	1139
583	3066	1134
584	3071	1128
585	3076	1123
586	3081	1118
587	3086	1112
588	3091	1107
589	3096	1102
590	3101	1096
591	3105	1091
592	3110	1085
593	3115	1080
594	3119	1074
595	3124	1069
596	3128	1063
597	3133	1058
598	3138	1053
599	3144	1048
600	3149	1042
601	3155	1037
602	3160	1032
603	3165	1027
604	3170	1021
605	3175	1016
606	3179	1010
607	3184	1005
608	3188	1000
609	3193	994
610	3197	989
611	3202	983
612	3207	978
613	3212	973
614	3217	967
615	3221	962
616	3226	957
617	3231	951
618	3235	946
619	3241	940
620	3245	935
621	3250	930
622	3255	924
623	3259	919
624	3264	914
625	3269	908
626	3274	903
627	3279	898
628	3284	892
629	3288	887
630	3293	882
631	3299	876
632	3304	871
633	3309	866
634	3314	861
635	3319	856
636	3324	850
637	3329	845
638	3334	840
639	3338	834
640	3343	829
641	3347	823
642	3352	818
643	3357	813
644	3361	807
645	3366	802
646	3371	797
647	3375	791
648	3380	786
649	3385	781
650	3389	775
651	3394	770
652	3399	765
653	3403	759
654	3408	754
655	3412	749
656	3417	743
657	3421	738
658	3426	733
659	3430	727
660	3435	722
661	3439	717
662	3444	711
663	3448	706
664	3453	700
665	3457	695
666	3462	690
667	3466	685
668	3471	679
669	3476	674
670	3482	669
671	3488	664
672	3495	659
673	3502	654
674	3509	649
675	3516	644
676	3521	639
677	3528	634
678	3534	629
679	3540	624
680	3546	619
681	3550	614
682	3555	609
683	3560	603
684	3564	598
685	3568	593
686	3573	587
687	3578	582
688	3583	577
689	3587	571
690	3592	566
691	3597	561
692	3601	556
693	3606	550
694	3610	545
695	3615	540
696	3619	534
697	3624	529
698	3629	524
699	3634	519
700	3639	513
701	3644	508
702	3650	503
703	3655	498
704	3660	493
705	3665	487
706	3669	482
707	3674	477
708	3678	472
709	3683	466
710	3688	461
711	3692	456
712	3697	451
713	3702	445
714	3706	440
715	3711	435
716	3716	430
717	3720	424
718	3725	419
719	3729	414
720	3734	409
721	3738	403
722	3743	398
723	3748	393
724	3752	388
725	3757	383
726	3762	377
727	3767	372
728	3772	367
729	3777	362
730	3781	356
731	3786	351
732	3791	346
733	3796	341
734	3801	336
735	3805	330
736	3810	325
737	3814	320
738	3819	315
739	3824	310
740	3828	304
741	3833	299
742	3837	294
743	3842	289
744	3847	284
745	3851	278
746	3856	273
747	3860	268
748	3865	263
749	3869	257
750	3874	252
751	3878	247
752	3883	242
753	3888	237
754	3892	232
755	3897	226
756	3901	221
757	3906	216
758	3910	211
759	3915	206
760	3919	200
761	3924	195
762	3928	190
763	3933	185
764	3937	180
765	3942	174
766	3946	169
767	3952	164
768	3957	159
769	3963	154
770	3967	149
771	3973	144
772	3978	138
773	3983	133
774	3987	128
775	3992	123
776	3996	118
777	4001	113
778	4005	107
779	4010	102
780	4015	97
781	4020	92
782	4025	87
783	4029	82
784	4034	77
785	4039	71
786	4044	66
787	4048	61
788	4053	56
789	4058	51
790	4062	46
791	4067	41
792	4073	35
793	4077	30
794	4082	25
795	4087	20
796	4092	15
797	4096	10
798	4101	5
799	4105	0
