Rference number,URL address,initial_SMILES,optimized_SMILES,initial_QED,optimized_QED,initial_MolSkill,optimized_MolSkill,initial_DBPP,optimized_DBPP,initial_HADES,optimied_HADES,optimized_HADES_scs,initial_HADES_scs
40,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01641,COc1ccc(cc1)C2(CCCC2)C(=O)N3CCC[C@@H]3C(=O)Nc4cccc5[nH]ncc45,COc1ccc(cc1)C2(CCC(F)(F)CC2)C(=O)N3C[C@H](F)C[C@@H]3C(=O)Nc4ccc5[nH]ncc5n4,0.6376789541376415,0.5508306197754332,-0.03441024,-1.7306253,0.0622371087533333,0.0789002070905707,0.0356868959584715,0.1737627279636985,0.42785829412814264,0.0707700384026595
41,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c00354?articleRef=test,OC1=CC=C(C[C@@]2(C(OC)=O)OC(C(O)=C2C3=CC=C(O)C=C3)=O)C=C1C/C=C(C)/C,OC1=CC=C(C[C@@]2(C(C)=O)OC(C(O)=C2C3=CC=C(O)C=C3)=O)C=C1C/C=C(C)/C,0.4796945063169929,0.4929620754685818,-9.739887,-9.238379,0.0075102132563444,0.0429381140230607,0.8011941222892539,0.8577695289136145,0.7774326934794374,0.7014556966908309
42,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01597,OC(C1=CC(OCC2=CC=CC=C2)=C(N=C(NC(C3=C(Cl)C(Cl)=C(C)N3)=O)S4)C4=C1)=O,O=C(C1=C(Cl)C(Cl)=C(C)N1)NC2=NC3=C(OC(C)C4=CC=CC=C4)C=C(C(O)=O)C=C3S2,0.3278877355123588,0.2930611991024101,2.7380743,3.6624866,0.0509675199942766,0.1620323295053711,0.0956454253722073,0.2099096084748186,0.3686628870648561,0.16740691501259436
43,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01034?articleRef=test,O=C1C(C=CC=C2)=C2N=NN1CC(N[C@@H](C)C3=CC=C(OC(F)(F)F)C=C3)=O,O=C1N(CC(N[C@@H](C)C2=CC=C(OC(F)(F)F)C=C2)=O)N=CC3=CC=CN31,0.7213685204998176,0.736756904458741,-7.9202228,-2.8702366,0.0018614114219545,0.0012593637512525,0.1185954410277102,0.1844541889644016,0.5417111302867534,0.6234095296369159
44,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c00175?articleRef=test,CC1=CC=C(C(NC2=CC(N(C)C)=CC=C2)=O)C=C1C#CC3=CN=C4N3N=CC=C4,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OCOC)C=C4)=C3C=C2)=O)C=C1C#CC5=CC=NC6=C5C=NN6,0.5367943385209015,0.1975086145486052,8.188009,5.5097723,0.0028490957315082,0.8014889539764707,0.0156824196773458,0.0211761821509792,0.09397495455283725,0.0923831108228057
45,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01905?articleRef=test,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C(=O)/C=C/C3=CC=C(C=C3)Br,BrC1=CC=C(/C=C/C(N2CCN(C(C3=CC=C(N=C(N)S4)C4=C3)=O)CC2)=O)C=C1,0.7000998529144948,0.5920682396522176,2.8296967,4.653462,0.0220691407505428,0.0122947843277227,0.0348227676952244,0.0328092977451836,0.29751000230409674,0.46707766300579595
46,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01011?articleRef=test,CC(C)N1N=C(C2=C1C=C(COC1=CC=C(C=C1)C(C)CC(O)=O)C=C2)C1=CC=CC=C1,C[C@H](C1=CC=C(OCC2=CC3=C(C(F)=C2)C(C4=CC(Cl)=C(CO)C(Cl)=C4)=NN3C5CCCC5)C=C1)CC(O)=O,0.3506091405772399,0.2133207503847634,3.8179445,7.0269675,0.0700867253210308,0.5939217758193502,0.0818303518925469,0.7698023137884488,0.14670908932472024,0.17918790192790862
47,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c00572?articleRef=test,N1=C(N2CCN(C(C=C)=O)C[C@@H]2C)c(cc3Cl)c(nc3c(c(F)ccc4)c4OCCc(c56)cccc5)N6C1=O,N1=C(N2C[C@@H](C)N(C(C=C)=O)C[C@@H]2C)c(cc3C)c(nc3c(c4OCCOc5c6c(C(C)C)ncc5)c(F)ccc4F)N6C1=O,0.3474246930700168,0.2987048681726627,9.690804,8.426842,0.1754036729897932,0.3555755181790972,0.0426303836478869,0.4999798199358294,0.15307397422328,0.10638391970758418
48,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01379,O=C(NC1=CC=C(OC(C2=CC=CC(C)=C2)=N3)C3=C1)C4=CC([N+]([O-])=O)=CC=C4Cl,O=C(NC1=CC=C(OC(C2=CC=C(CC)C=C2)=N3)C3=C1)C4=CC([N+]([O-])=O)=CC=C4Cl,0.3495251295561488,0.320616218127653,-0.5633755,-1.4205586,0.1974850274283591,0.0928741403538152,0.0609283357537191,0.0738715851603547,0.1653545740629057,0.13512873875288142
49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c02329?articleRef=test,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C,CC(C)N1N=NC2=C1C=C(C=C2)C1=CC=NC(NC2=CC=C(C=N2)C(=O)N2CCCN(C)CC2)=C1,0.7394031145969058,0.4714479781464972,-9.6684885,-9.294211,0.0069718303582888,0.9679297189901808,0.1482557147580113,0.1155633172980501,0.20808115919392134,0.22622856203688424
50,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c01548,CC(=O)N1CCC(CC1)NC2=NC=NC(=C2)C(=O)NC[C@@H](CN3CCC4=CC=CC=C4C3)O,O=C1C2=CC(NC3CC4(CN(C(C)=O)C4)C3)=NC=C2C5(CC5)CN1C[C@H](O)CN(CC6)CC7=C6C=CC=C7,0.575867536222434,0.6144634516041166,-0.3951999,12.711141,0.0987419077022944,0.1687500693979665,0.0508827709467689,0.0360747492876446,0.10273915091357814,0.22336069020385702
51,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c02030,O=S(C1=CC=CC(NC(C2=C(N=CC=C2)N3CCCCC3)=O)=C1)(C4CCCC4)=O,CC(C)(C)NS(=O)(=O)c1cccc(NC(=O)c2ccc(NS(=O)(=O)C3(C)CC3)cc2N4CCC5(CC4)CC5)c1,0.8002116651083242,0.420210512393332,-6.450917,5.8811827,0.0038400494307468,0.2301208035371694,0.0462603475907749,0.2441092137682557,0.1785987692055015,0.07250828504583991
52,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c02017?articleRef=test,CN(C(CN1CCNCC1)=C2)C3=C2C(C4=CC=C(C#N)C=C4)=C(C5=CC=C(C)C=C5)N=C3,N[C@@H](CC1)CN1CC2=CC3=C(N2CC(F)(F)F)C=NC(C4=CC(C)=C(C)C=C4C)=C3C5=CC(F)=C(C#N)C=C5,0.5274077688417119,0.3003192175626347,-3.6232247,10.178558,0.4662275334576422,0.4564490291119348,0.0639666368265984,0.3886962619961727,0.08357606338290868,0.1387612459759377
53,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01145?articleRef=test,n(C1)(ncc2c(cc3)ccc3F)c2CN(C1)C(=O)Nc4ccccc4,C[C@H]1Cn2c(c(N3CCOCC3=O)cn2)CN1C(Nc4cc(Cl)c(F)cc4)=O,0.7749756661658344,0.8289928797332626,-0.2572894,-18.28417,0.0189910439033467,0.0036372531362676,0.049775383396834,0.2973746906902231,0.3371892139529496,0.13658528092174954
54,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01521,Clc(c(C)c(nc1C2CC2)Cl)n1,c1nc([C@@H]2[C@@H](COc3cc(NCc4sc(C)nn4)nc(C)n3)C2)ccc1C,0.6553566601678216,0.6696761149514431,15.283591,0.8752991,0.9988826471633392,0.0040710529129494,0.0229648090168472,0.0169563302718104,0.09030587586052494,0.1449921225684184
55,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01431,O=C(C1=CC(OC2=CC(C)=CC(C)=C2)=C(NC(C3=CC(OC)=CC(OC)=C3)=O)C=C1N4)N[C@@H](CC(OC)=O)C4=O,O=C(C1=C(Br)C(OC)=C(OC)C(OC)=C1)NC2=C(OC3=CC(C)=CC(C)=C3)C=C4C(NC([C@H](CC(N(CC)CC)=O)N(C)C4=O)=O)=C2,0.3598344351842555,0.2554993890885834,15.258313,16.73187,0.3687902764705016,0.8762620360489298,0.2982880560110932,0.7126802609701578,0.5585036083365683,0.5002299290175257
